"Series";"Time";"Value"
"hadoop";"2018-12-17T03:52:00+08:00";6,328,971,264
"hadoop";"2018-12-17T04:00:00+08:00";6,627,549,184
"hadoop";"2018-12-17T04:08:00+08:00";6,759,206,912
"hadoop";"2018-12-17T04:16:00+08:00";6,651,731,968
"hadoop";"2018-12-17T04:24:00+08:00";5,460,754,432
"hadoop";"2018-12-17T04:32:00+08:00";5,229,629,440
"hadoop";"2018-12-17T04:40:00+08:00";4,707,315,712
"hadoop";"2018-12-17T04:48:00+08:00";5,470,502,912
"hadoop";"2018-12-17T04:56:00+08:00";6,571,974,656
"hadoop";"2018-12-17T05:04:00+08:00";6,474,735,616
"hadoop";"2018-12-17T05:12:00+08:00";6,321,295,360
"hadoop";"2018-12-17T05:20:00+08:00";4,824,498,176
"hadoop";"2018-12-17T05:28:00+08:00";5,006,635,008
"hadoop";"2018-12-17T05:36:00+08:00";4,460,699,648
"hadoop";"2018-12-17T05:44:00+08:00";5,916,856,320
"hadoop";"2018-12-17T05:52:00+08:00";6,307,008,512
"hadoop";"2018-12-17T06:00:00+08:00";6,208,307,200
"hadoop";"2018-12-17T06:08:00+08:00";5,960,761,344
"hadoop";"2018-12-17T06:16:00+08:00";5,331,382,272
"hadoop";"2018-12-17T06:24:00+08:00";5,211,734,016
"hadoop";"2018-12-17T06:32:00+08:00";4,454,694,912
"hadoop";"2018-12-17T06:40:00+08:00";5,469,057,024
"hadoop";"2018-12-17T06:48:00+08:00";6,680,371,200
"hadoop";"2018-12-17T06:56:00+08:00";6,256,910,336
"hadoop";"2018-12-17T07:04:00+08:00";6,273,527,808
"hadoop";"2018-12-17T07:12:00+08:00";6,364,700,672
"hadoop";"2018-12-17T07:20:00+08:00";4,508,188,672
"hadoop";"2018-12-17T07:28:00+08:00";4,601,933,824
"hadoop";"2018-12-17T07:36:00+08:00";5,672,742,912
"hadoop";"2018-12-17T07:44:00+08:00";6,201,479,168
"hadoop";"2018-12-17T07:52:00+08:00";6,351,368,192
"hadoop";"2018-12-17T08:00:00+08:00";6,294,581,248
"hadoop";"2018-12-17T08:08:00+08:00";5,777,801,216
"hadoop";"2018-12-17T08:16:00+08:00";6,005,043,200
